Codi_centre;Denominació_completa;Adreça;Codi_postal;Telèfon;Codi_delegació;Nom_delegació;Codi_comarca;Nom_comarca;Codi_municipi;Nom_municipi;E-mail_centre
8000827;Jesús Maria;c. Lepant, 3;8917;933874696;208;Barcelonès;13;Barcelonès;8015;Badalona;a8000827@xtec.cat
8000864;Cultural;ptge. Pi i Gibert, 29-31;8913;933875299;208;Barcelonès;13;Barcelonès;8015;Badalona;a8000864@xtec.cat
8000918;Cultural;pl. Marquès de Barberà, 13;8911;933840451;208;Barcelonès;13;Barcelonès;8015;Badalona;a8000918@xtec.cat
8000921;Arrels-Esperança;c. Provença, 7;8914;933876199;208;Barcelonès;13;Barcelonès;8015;Badalona;a8000921@xtec.cat
8000943;Garbí Pere Vergés;av. de les Palmeres, 5;8916;933954311;208;Barcelonès;13;Barcelonès;8015;Badalona;a8000943@xtec.cat
8000967;Betúlia;c. Conquesta, 57-65;8912;933996807;208;Barcelonès;13;Barcelonès;8015;Badalona;a8000967@xtec.cat
8000979;López Torrejón;c. Roger de Flor, 115-117;8912;934606253;208;Barcelonès;13;Barcelonès;8015;Badalona;a8000979@xtec.cat
8000980;Ramiro de Maeztu;c. Ramiro de Maeztu, s/n;8913;933880238;208;Barcelonès;13;Barcelonès;8015;Badalona;a8000980@xtec.cat
8001030;Cultural Fluvià;c. Fluvià, 64;8911;934640731;208;Barcelonès;13;Barcelonès;8015;Badalona;a8001030@xtec.cat
8001066;Maria Ward;c. Sant Frederic, s/n;8913;933872898;208;Barcelonès;13;Barcelonès;8015;Badalona;a8001066@xtec.cat
8001108;Mare de Déu de l'Assumpció;c. Sant Joan Evangelista, 22;8918;933871554;208;Barcelonès;13;Barcelonès;8015;Badalona;a8001108@xtec.cat
8001133;Arrels-Blanquerna;av. Roma, 29-31;8915;933951657;208;Barcelonès;13;Barcelonès;8015;Badalona;a8001133@xtec.cat
8001145;Lestonnac;c. Santa Joana de Lestonnac, s/n;8918;933871295;208;Barcelonès;13;Barcelonès;8015;Badalona;a8001145@xtec.cat
8001157;Minguella;c. Sta.Madrona,75 i Sta.Maria,30 i 34-36;8911;933892287;208;Barcelonès;13;Barcelonès;8015;Badalona;a8001157@xtec.cat
8001170;Santíssima Trinitat;c. Santiago, 57;8918;933874854;208;Barcelonès;13;Barcelonès;8015;Badalona;a8001170@xtec.cat
8001297;Laietània;c. Saragossa, 18 i 19;8912;933881447;208;Barcelonès;13;Barcelonès;8015;Badalona;a8001297@xtec.cat
8001391;Escola Planas i Casals;c. Muntaner, 2-18;8917;933951406;208;Barcelonès;13;Barcelonès;8015;Badalona;a8001391@xtec.cat
8001421;Institut La Pineda;c. de la Batlloria, s/n;8917;933990511;208;Barcelonès;13;Barcelonès;8015;Badalona;a8001421@xtec.cat
8001431;Institut Isaac Albéniz;parc Serentill, s/n;8915;933830511;208;Barcelonès;13;Barcelonès;8015;Badalona;a8001431@xtec.cat
8001443;Institut Eugeni d'Ors;av. Maresme, 192-212;8918;933875866;208;Barcelonès;13;Barcelonès;8015;Badalona;a8001443@xtec.cat
8001480;EA Pau Gargallo;parc Serentill, s/n;8915;933997652;208;Barcelonès;13;Barcelonès;8015;Badalona;a8001480@xtec.cat
8001509;Escola Antoni Botey;av. Doctor Bassols, 77 A;8913;933872589;208;Barcelonès;13;Barcelonès;8015;Badalona;a8001509@xtec.cat
8001522;Escola Galceran de Pinós;av. Reina Elisenda, 2;8695;938244116;1060;Catalunya Central;14;Berguedà;8016;Bagà;a8001522@xtec.cat
8001595;Escola Baixeras;c. Salvador Aulet, 1;8002;933105295;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8001595@xtec.cat
8001601;Escola Parc de la Ciutadella;pg. de Circumval.lació, 5;8003;933195847;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8001601@xtec.cat
8001649;Escola Mossèn Jacint Verdaguer;c. Lleida, 32;8004;934240201;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8001649@xtec.cat
8001650;Escola El Polvorí;camí del Polvorí, 8-10;8038;933327496;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8001650@xtec.cat
8001674;Escola Can Clos;c. Pedrera del Mussol, 10-14;8038;933326145;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8001674@xtec.cat
8001716;Escola Dolors Monserdà-Santapau;av. Vallvidrera, 9;8017;932031278;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8001716@xtec.cat
8001731;Escola Poeta Foix;c. Balmes, 298;8006;932018152;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8001731@xtec.cat
8001777;Escola Ramon Llull;av. Diagonal, 275;8013;932313457;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8001777@xtec.cat
8001789;Escola Cervantes;c. Sant Pere Més Baix, 31;8003;932682050;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8001789@xtec.cat
8001790;Escola Pere Vila;pg. Lluís Companys, 18;8018;933099417;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8001790@xtec.cat
8001807;Escola de la Concepció;c. Bruc, 102;8009;934576081;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8001807@xtec.cat
8001819;Escola Collaso i Gil;c. Sant Pau, 101;8001;934410098;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8001819@xtec.cat
8001820;Escola Milà i Fontanals;c. Àngels, s/n;8001;934427038;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8001820@xtec.cat
8001832;Escola Castella;pl. Castella, 8;8001;933020835;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8001832@xtec.cat
8001856;Escola Drassanes;c. Nou de Sant Francesc, 9-13;8001;933189733;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8001856@xtec.cat
8001868;Escola Rubén Darío;rda. Sant Pau, 38;8001;934429203;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8001868@xtec.cat
8001911;Escola Els Llorers;av. de Roma, 98-100;8015;934544865;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8001911@xtec.cat
8001923;Escola Diputació;c. Diputació, 112-116;8015;934546868;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8001923@xtec.cat
8001947;Escola Mallorca;c. Londres, 64;8036;934442682;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8001947@xtec.cat
8002009;Escola Francesc Macià;pl. Espanya, 2-3;8014;934235085;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002009@xtec.cat
8002010;Escola Lluís Vives;c. Canalejas, 107;8028;934222440;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002010@xtec.cat
8002022;Escola Cal Maiol;c. Sagunt, 92-94;8014;933318893;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002022@xtec.cat
8002058;Escola Pràctiques;c. Guitard, 8;8014;934907023;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002058@xtec.cat
8002061;Escola Jaume I;c. Melcior de Palau, 134-136;8014;934904103;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002061@xtec.cat
8002071;Escola Gayarre;c. Gayarre, 54-56;8014;934211350;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002071@xtec.cat
8002113;Escola Rius i Taulet;pl. de Ferran Lesseps, 19;8023;932176196;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002113@xtec.cat
8002174;Escola Baldiri Reixac;c. Olot, s/n (Parc Güell);8024;932130484;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002174@xtec.cat
8002186;Escola Mare de Déu de Montserrat;c. Natzaret, 83-85;8035;934181300;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002186@xtec.cat
8002198;Escola La Farigola de Vallcarca;c. Sant Camil, 31;8023;932138802;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002198@xtec.cat
8002204;Escola Montseny;c. Torrent del Remei, 2-10;8023;932139845;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002204@xtec.cat
8002216;Escola Josep Maria de Sagarra;pg. Vall d'Hebron, 64-70;8023;932124429;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002216@xtec.cat
8002277;Escola Calderón de la Barca;c. Orduña, s/n;8031;934084651;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002277@xtec.cat
8002290;Escola Emili Juncadella;c. Juan de Garay, 12;8041;933518304;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002290@xtec.cat
8002320;Escola Ciutat Comtal;c. Pujalt, s/n;8033;933592942;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002320@xtec.cat
8002344;Escola El Turó;c. de Peñalara, 19-55;8031;934295384;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002344@xtec.cat
8002368;Escola Timbaler del Bruc;c. Arnau Oms, 4;8016;933522951;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002368@xtec.cat
8002393;Escola L'Arc de Sant Martí;c. Almacelles, 1-11;8020;933141776;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002393@xtec.cat
8002411;Escola Baró de Viver;c. Tucuman, 1;8030;933455613;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002411@xtec.cat
8002459;Escola Elisenda de Montcada;c. Vallcivera, s/n;8033;933592941;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002459@xtec.cat
8002484;Escola Marta Mata;c. Casals i Cuberó, s/n;8042;933541302;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002484@xtec.cat
8002526;Escola Tibidabo;c. Joaquim Valls, 10(Barriada Roquetes);8016;933594745;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002526@xtec.cat
8002538;Escola Víctor Català;c. Font d'en Canyelles, 35;8016;933590946;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002538@xtec.cat
8002551;Escola Molí de Finestrelles;c. Guardiola i Feliu, 7-9;8030;933456816;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002551@xtec.cat
8002563;Escola La Mar Bella;pl. Sant Bernat Calbó, 2;8005;932252838;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002563@xtec.cat
8002575;Escola La Pau;c. Extremadura, 15;8020;933136239;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002575@xtec.cat
8002587;Escola Concepción Arenal;c. Cristobal de Moura, 240;8019;933052151;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002587@xtec.cat
8002599;Escola Eduard Marquina;c. Jaume Huguet, 22;8019;933053001;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002599@xtec.cat
8002617;Escola Rambleta del Clot;c. Aragó, 620;8018;932454243;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002617@xtec.cat
8002629;Escola Les Acàcies;c. Pujadas, 252-270;8005;933070033;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002629@xtec.cat
8002630;Escola Els Porxos;pl. Eduard Torroja, 12-20;8020;933071232;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002630@xtec.cat
8002642;Escola Poblenou;c. Perú, 139;8018;933072613;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002642@xtec.cat
8002654;Escola Prim;c. Bernat Metge, 20-26;8019;933142420;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002654@xtec.cat
8002666;CEE Concha Espina;c. Prim, 121-123;8020;933144919;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002666@xtec.cat
8002681;Escola Duran i Bas;c. Vallespir, 198;8014;934908159;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002681@xtec.cat
8002721;Escola Font d'en Fargas;pg. Font d'En Fargas, 65;8032;933576148;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002721@xtec.cat
8002733;Escola Miralletes;c. Indústria, 255;8041;934563281;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002733@xtec.cat
8002745;Escola El Carmel;c. Llobregós, 154;8032;934294698;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002745@xtec.cat
8002770;Escola Àgora;c. Marne, 2;8042;933596280;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002770@xtec.cat
8002800;Escola Mas Casanovas;c. Mas Casanovas, 55;8025;934364910;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002800@xtec.cat
8002873;Escola Bac de Roda;c. Fluvià, 253;8020;933071431;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002873@xtec.cat
8002897;Escola Mestre Morera;prolongació de Perafita, s/n;8033;933506600;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002897@xtec.cat
8002903;CEE Sant Joan de la Creu;av. Rasos de  Peguera, 234;8033;933509148;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002903@xtec.cat
8002915;Escola Brasil;Gran Via de les Corts Catalanes 1108;8020;933086995;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002915@xtec.cat
8002927;Escola Joaquim Ruyra;c. Llull, 377;8019;933071458;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002927@xtec.cat
8002952;Escola Enric Granados;pg. Zona Franca, 96-104;8038;933326247;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002952@xtec.cat
8002976;Escola Ramon Casas;c. del Platí, 6;8038;933315284;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002976@xtec.cat
8002988;Escola Pare Poveda;av. Vallcarca, 220;8023;932123375;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8002988@xtec.cat
8002991;Escola Cascavell;c. Argentina, s/n;8930;933819400;208;Barcelonès;13;Barcelonès;8194;Sant Adrià de Besòs;a8002991@xtec.cat
8003014;Jesús Maria;rbla. Caçador, 6-12;8042;934270125;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8003014@xtec.cat
8003041;Sagrada Família;c. Avinyó, 20;8002;933188716;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8003041@xtec.cat
8003294;Sant Felip Neri;pl. de Sant Felip Neri, 6;8002;933011296;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8003294@xtec.cat
8003361;Maristes Anna Ravell;c. Blasco de Garay, 52;8004;934425027;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;17006642
8003491;Escola De Bosc de Montjuïc;av. Miramar, 7-9;8038;934414224;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8003491@xtec.cat
8003543;Salesià de Sant Josep;c. Rocafort, 42;8015;934231234;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8003543@xtec.cat
8003592;Maria Auxiliadora;c. Sepúlveda, 67-71/c.Calàbria, 81;8015;933257712;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8003592@xtec.cat
8003609;Scuola dell'Infanzia Italiana parif. M. Montessori;c. Setantí, 10-12;8034;932030006;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8003609@xtec.cat
8003610;Jesús Maria;c. Tamarit, 80;8004;934240230;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8003610@xtec.cat
8003658;Stucom Còrsega - Sant Francesc;c. Còrsega, 409;8037;933218377;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8003658@xtec.cat
8003671;JesuÏtes Poble Sec - Sant Pere Claver;c. Vila Vilà, 14;8004;934418006;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8003671@xtec.cat
8003695;Escola Bàrkeno;c. Cisell, 15;8038;932230829;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8003695@xtec.cat
8003701;Alfageme;pg. Zona Franca, 198;8038;933323246;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8003701@xtec.cat
8003725;Garbiñe;c. Física, 12-14;8038;933318093;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8003725@xtec.cat
8003774;Lexia;c. Gomis, 102-104;8023;934170739;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8003774@xtec.cat
8003816;Thau;ctra. d'Esplugues, 49-53;8034;932030154;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8003816@xtec.cat
8003907;La Salle Bonanova;pg. de la Bonanova, 8;8022;932540954;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8003907@xtec.cat
8003993;Canigó;c. Císter, 23;8022;932110217;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8003993@xtec.cat
8004018;Mary Ward;c. Copèrnic, 55-59;8006;932018555;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8004018@xtec.cat
8004031;Sant Marc de Sarrià;c. Carrasco i Formiguera, 6-16;8017;932041145;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8004031@xtec.cat
8004067;Jesuïtes Sarrià - Sant Ignasi;c. Carrasco i Formiguera, 32;8017;936023000;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8004067@xtec.cat
8004080;Sil;av. Tibidabo, 26-28;8022;932126754;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8004080@xtec.cat
8004122;Sagrado Corazón;c. Eduard Conde, 17-23;8034;932038754;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8004122@xtec.cat
8004171;Santa Anna-Eixample;c. Bailèn, 53-59;8009;932654237;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8004171@xtec.cat
8004183;Stel·la;c. Esperança, 13;8017;934173485;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8004183@xtec.cat
8004195;Sant Gregori;c. Carles Riba, 11-15;8035;932123108;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8004195@xtec.cat
8004201;Santa Teresa - Ganduxer;c. Ganduxer, 85-105;8022;932123354;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8004201@xtec.cat
8004225;St. Peter's School;c. Eduard Toldrà, 18;8034;932043612;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8004225@xtec.cat
8004286;Escola Pia de Sarrià-Calassanç;c. Immaculada, 25-35;8017;932120908;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8004286@xtec.cat
8004316;Decroly;c. Vendrell, 1;8022;934175271;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8004316@xtec.cat
8004328;Nostra Senyora de Lurdes;Via Augusta, 73-75;8006;932377475;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8004328@xtec.cat
8004389;Escola Reina Violant;c. Trilla, 18;8012;932189752;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8004389@xtec.cat
8004390;Sant Pau;av. Pearson, 39-45;8034;932030500;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8004390@xtec.cat
8004432;Istituto Italiano Statale c.sc.el.e.sec. I e II gr;ptge. Méndez Vigo, 5-8;8009;934874665;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8004432@xtec.cat
8004471;Nausica;c. Muntaner, 309-313;8021;932004340;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8004471@xtec.cat
8004511;Betània-Patmos;av. Mare de Déu de Lorda, 2-16;8034;932521900;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8004511@xtec.cat
8004523;Paideia;c. Montnegre, 36-42;8029;932051239;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8004523@xtec.cat
8004559;Abat Oliba-Loreto;av. Pearson, 22-26;8034;932040816;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8004559@xtec.cat
8004626;Jesuïtes Sant Gervasi - Infant Jesús;c. Avenir, 19;8006;933622058;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8004626@xtec.cat
8004641;Lys;c. Puig-reig, 9;8006;934175079;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8004641@xtec.cat
8004705;Reial Monestir de Santa Isabel;c. Cardenal Setmenat, 1-5;8017;932032788;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8004705@xtec.cat
8004717;Sagrat Cor-Sarrià;c. Sagrat Cor, 25;8034;932030200;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8004717@xtec.cat
8004742;Jesús i Maria;pg. de Sant Gervasi, 15;8022;934171200;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8004742@xtec.cat
8004778;Santa Dorotea;pg. de Sant Joan Bosco, 24;8017;932032892;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8004778@xtec.cat
8004781;Salesians Sant Àngel;c. Rafael Batlle, 7;8017;932039400;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8004781@xtec.cat
8004808;Casa del Roure;c. Sant Pere  Claver, 12-18;8017;932524020;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8004808@xtec.cat
8004869;Peter Pan;c. Immaculada, 4;8017;934180195;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8004869@xtec.cat
8004900;Madres Concepcionistas de la Enseñanza;c. de la Torre, 19;8006;932187971;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8004900@xtec.cat
8004912;Montserrat;av. Vallvidrera, 68;8017;932038800;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8004912@xtec.cat
8005072;Sadako;c. Collserola, 42;8035;934189428;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8005072@xtec.cat
8005102;La Salle Comtal;c. Amadeu Vives, 6;8003;932682033;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8005102@xtec.cat
8005114;Mare del Diví Pastor;c. Bailèn, 38;8010;932654291;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8005114@xtec.cat
8005151;Sant Francesc Xavier;c. Bòbila, 26-28;8004;934245791;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8005151@xtec.cat
8005199;Jesuïtes Casp - Sagrat Cor de Jesús;c. Casp, 25;8010;933183704;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8005199@xtec.cat
8005205;Pérez Iborra;c. Consell de Cent, 321-323;8007;934880057;108;Consorci d'Educació de Barcelona;13;Barcelonès;8019;Barcelona;a8005205@xtec.cat
